algorithm,num_elements,order,execution_time,replication
quick,10000,ordered,4925375,1
quick,10000,ordered,2960478,2
quick,10000,ordered,2152361,3
quick,10000,ordered,608880,4
quick,10000,ordered,612804,5
quick,10000,ordered,614012,6
quick,10000,ordered,633935,7
quick,10000,ordered,609182,8
quick,10000,ordered,612502,9
quick,10000,ordered,614616,10
merge,10000,ordered,611899,1
merge,10000,ordered,631521,2
merge,10000,ordered,617332,3
merge,10000,ordered,667141,4
merge,10000,ordered,630313,5
merge,10000,ordered,611899,6
merge,10000,ordered,629709,7
merge,10000,ordered,648727,8
merge,10000,ordered,612804,9
merge,10000,ordered,632728,10
quick,10000,ordered,638464,1
quick,10000,ordered,611898,2
quick,10000,ordered,630011,3
quick,10000,ordered,633030,4
quick,10000,ordered,669255,5
quick,10000,ordered,643898,6
quick,10000,ordered,610087,7
quick,10000,ordered,630615,8
quick,10000,ordered,636652,9
quick,10000,ordered,635445,10
quick,10000,ordered,633030,1
quick,10000,ordered,632124,2
quick,10000,ordered,619445,3
quick,10000,ordered,671972,4
quick,10000,ordered,608880,5
quick,10000,ordered,512280,6
quick,10000,ordered,385795,7
quick,10000,ordered,387606,8
quick,10000,ordered,406926,9
quick,10000,ordered,390323,10
merge,10000,ordered,367984,1
merge,10000,ordered,387304,2
merge,10000,ordered,387908,3
merge,10000,ordered,386700,4
merge,10000,ordered,367381,5
merge,10000,ordered,389417,6
merge,10000,ordered,387304,7
merge,10000,ordered,387305,8
merge,10000,ordered,373720,9
merge,10000,ordered,1068030,10
quick,10000,ordered,368588,1
quick,10000,ordered,387908,2
quick,10000,ordered,387304,3
quick,10000,ordered,407228,4
quick,10000,ordered,377644,5
quick,10000,ordered,380059,6
quick,10000,ordered,398171,7
quick,10000,ordered,391531,8
quick,10000,ordered,387305,9
quick,10000,ordered,366173,10
quick,10000,ordered,405718,1
quick,10000,ordered,389417,2
quick,10000,ordered,388512,3
quick,10000,ordered,380060,4
quick,10000,ordered,411756,5
quick,10000,ordered,387304,6
quick,10000,ordered,392738,7
quick,10000,ordered,386701,8
quick,10000,ordered,368890,9
quick,10000,ordered,379154,10
merge,10000,ordered,388511,1
merge,10000,ordered,387606,2
merge,10000,ordered,388210,3
merge,10000,ordered,368588,4
merge,10000,ordered,389719,5
merge,10000,ordered,429566,6
merge,10000,ordered,372814,7
merge,10000,ordered,368588,8
merge,10000,ordered,393643,9
merge,10000,ordered,410247,10
quick,10000,ordered,371003,1
quick,10000,ordered,372512,2
quick,10000,ordered,412662,3
quick,10000,ordered,368287,4
quick,10000,ordered,369796,5
quick,10000,ordered,394550,6
quick,10000,ordered,367079,7
quick,10000,ordered,366777,8
quick,10000,ordered,455226,9
quick,10000,ordered,493866,10
quick,10000,ordered,429264,1
quick,10000,ordered,389720,2
quick,10000,ordered,395455,3
quick,10000,ordered,458245,4
quick,10000,ordered,491149,5
quick,10000,ordered,550014,6
quick,10000,ordered,509262,7
quick,10000,ordered,468810,8
quick,10000,ordered,411454,9
quick,10000,ordered,392134,10
merge,10000,ordered,404813,1
merge,10000,ordered,382172,2
merge,10000,ordered,407530,3
merge,10000,ordered,374927,4
merge,10000,ordered,367380,5
merge,10000,ordered,367380,6
merge,10000,ordered,367380,7
merge,10000,ordered,368588,8
merge,10000,ordered,390022,9
merge,10000,ordered,370399,10
quick,10000,ordered,370098,1
quick,10000,ordered,370701,2
quick,10000,ordered,373419,3
quick,10000,ordered,370701,4
quick,10000,ordered,369493,5
quick,10000,ordered,368286,6
quick,10000,ordered,370098,7
quick,10000,ordered,371305,8
quick,10000,ordered,397869,9
quick,10000,ordered,369795,10
quick,10000,ordered,409945,1
quick,10000,ordered,487828,2
quick,10000,ordered,436811,3
quick,10000,ordered,472131,4
quick,10000,ordered,376135,5
quick,10000,ordered,377342,6
quick,10000,ordered,365267,7
quick,10000,ordered,407530,8
quick,10000,ordered,392135,9
quick,10000,ordered,368588,10
merge,10000,ordered,372512,1
merge,10000,ordered,402096,2
merge,10000,ordered,370098,3
merge,10000,ordered,367985,4
merge,10000,ordered,367985,5
merge,10000,ordered,367381,6
merge,10000,ordered,369192,7
merge,10000,ordered,390927,8
merge,10000,ordered,379456,9
merge,10000,ordered,390323,10
quick,10000,ordered,411153,1
quick,10000,ordered,386097,2
quick,10000,ordered,387003,3
quick,10000,ordered,368287,4
quick,10000,ordered,387002,5
quick,10000,ordered,389417,6
quick,10000,ordered,409341,7
quick,10000,ordered,393644,8
quick,10000,ordered,409039,9
quick,10000,ordered,429567,10
quick,10000,ordered,420510,1
quick,10000,ordered,385795,2
quick,10000,ordered,384286,3
quick,10000,ordered,387908,4
quick,10000,ordered,387606,5
quick,10000,ordered,387002,6
quick,10000,ordered,387908,7
quick,10000,ordered,391833,8
quick,10000,ordered,368890,9
quick,10000,ordered,386701,10
merge,10000,ordered,387304,1
merge,10000,ordered,485715,2
merge,10000,ordered,484206,3
merge,10000,ordered,386701,4
merge,10000,ordered,365569,5
merge,10000,ordered,479678,6
merge,10000,ordered,433793,7
merge,10000,ordered,407831,8
merge,10000,ordered,405115,9
merge,10000,ordered,386097,10
quick,10000,ordered,367381,1
quick,10000,ordered,409039,2
quick,10000,ordered,387304,3
quick,10000,ordered,438623,4
quick,10000,ordered,388814,5
quick,10000,ordered,372513,6
quick,10000,ordered,410549,7
quick,10000,ordered,389116,8
quick,10000,ordered,407530,9
quick,10000,ordered,393644,10
quick,10000,ordered,379455,1
quick,10000,ordered,388511,2
quick,10000,ordered,412360,3
quick,10000,ordered,388512,4
quick,10000,ordered,392738,5
quick,10000,ordered,367381,6
quick,10000,ordered,387606,7
quick,10000,ordered,386700,8
quick,10000,ordered,387607,9
quick,10000,ordered,366777,10
merge,10000,ordered,388210,1
merge,10000,ordered,389115,2
merge,10000,ordered,389116,3
merge,10000,ordered,447076,4
merge,10000,ordered,540958,5
merge,10000,ordered,539751,6
merge,10000,ordered,570240,7
merge,10000,ordered,566919,8
merge,10000,ordered,625482,9
merge,10000,ordered,720573,10
quick,10000,ordered,610087,1
quick,10000,ordered,567221,2
quick,10000,ordered,575673,3
quick,10000,ordered,533714,4
quick,10000,ordered,540053,5
quick,10000,ordered,562995,6
quick,10000,ordered,570844,7
quick,10000,ordered,599220,8
quick,10000,ordered,698537,9
quick,10000,ordered,1138970,10
quick,10000,ordered,587748,1
quick,10000,ordered,552429,2
quick,10000,ordered,574164,3
quick,10000,ordered,607974,4
quick,10000,ordered,578995,5
quick,10000,ordered,633030,6
quick,10000,ordered,598918,7
quick,10000,ordered,687669,8
quick,10000,ordered,559373,9
quick,10000,ordered,619747,10
merge,10000,ordered,571749,1
merge,10000,ordered,544883,2
merge,10000,ordered,538845,3
merge,10000,ordered,539449,4
merge,10000,ordered,547901,5
merge,10000,ordered,569033,6
merge,10000,ordered,712423,7
merge,10000,ordered,558769,8
merge,10000,ordered,582315,9
merge,10000,ordered,570240,10
quick,10000,ordered,534921,1
quick,10000,ordered,576881,2
quick,10000,ordered,555146,3
quick,10000,ordered,567523,4
quick,10000,ordered,594390,5
quick,10000,ordered,672877,6
quick,10000,ordered,532506,7
quick,10000,ordered,526167,8
quick,10000,ordered,548505,9
quick,10000,ordered,535223,10
quick,10000,ordered,558467,1
quick,10000,ordered,539751,2
quick,10000,ordered,566617,3
quick,10000,ordered,556354,4
quick,10000,ordered,655670,5
quick,10000,ordered,516808,6
quick,10000,ordered,507752,7
quick,10000,ordered,510771,8
quick,10000,ordered,552731,9
quick,10000,ordered,517412,10
merge,10000,ordered,521035,1
merge,10000,ordered,553939,2
merge,10000,ordered,580504,3
merge,10000,ordered,642387,4
merge,10000,ordered,537939,5
merge,10000,ordered,555146,6
merge,10000,ordered,585031,7
merge,10000,ordered,575674,8
merge,10000,ordered,517714,9
merge,10000,ordered,522846,10
quick,10000,ordered,534619,1
quick,10000,ordered,554543,2
quick,10000,ordered,636049,3
quick,10000,ordered,517714,4
quick,10000,ordered,531298,5
quick,10000,ordered,560580,6
quick,10000,ordered,554543,7
quick,10000,ordered,541260,8
quick,10000,ordered,524053,9
quick,10000,ordered,534921,10
quick,10000,ordered,624879,1
quick,10000,ordered,632124,2
quick,10000,ordered,514997,3
quick,10000,ordered,531902,4
quick,10000,ordered,522544,5
quick,10000,ordered,528581,6
quick,10000,ordered,515601,7
quick,10000,ordered,524657,8
quick,10000,ordered,553335,9
quick,10000,ordered,555146,10
